"year","cpue","upr","lwr","assessmentyear"
2006,1787,2817,1133,2018
2007,1594,2296,1107,2018
2008,1098,1545,781,2018
2009,873,1253,608,2018
2010,542,762,386,2018
2011,496,706,349,2018
2012,476,680,333,2018
2013,580,862,390,2018
2014,468,692,317,2018
2015,589,910,381,2018
2016,551,813,373,2018
2017,774,1178,509,2018
